sample_id,run_id,medium,medium_id,sequence,phase,phase_name,phase_id,voltage,voltage_class,frame,time_ms,time_s,drive_freq_hz,cycle_phase_rad,sin_phase,cos_phase,v_applied,v_abs,angle_deg,angle_rad,delta_angle,direction,direction_id,amp_deg_model,tau_stim_s_model,tau_relax_s_model,noise_std_deg_model,img_relpath,img_filename,img_path,split
ACETONE(1%)__seq782__4.500V__R__f01,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,1,0,0.0,0.22,0.0,0.0,1.0,0.0,0.0,21.887926976672066,0.3820163921790156,0.0,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f01.png,f01.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f01.png,test
ACETONE(1%)__seq782__4.500V__R__f02,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,2,500,0.5,0.22,0.6911503837897545,0.6374239897486896,0.7705132427757893,0.0,0.0,19.70186825277595,0.3438624698050827,-2.1860587238961173,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f02.png,f02.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f02.png,test
ACETONE(1%)__seq782__4.500V__R__f03,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,3,1000,1.0,0.22,1.382300767579509,0.9822872507286886,0.18738131458572474,0.0,0.0,17.261204299519804,0.30126484788602204,-2.440663953256145,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f03.png,f03.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f03.png,test
ACETONE(1%)__seq782__4.500V__R__f04,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,4,1500,1.5,0.22,2.0734511513692633,0.8763066800438637,-0.48175367410171505,0.0,0.0,14.701712385788989,0.25659328681324867,-2.559491913730815,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f04.png,f04.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f04.png,test
ACETONE(1%)__seq782__4.500V__R__f05,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,5,2000,2.0,0.22,2.764601535159018,0.36812455268467814,-0.9297764858882513,0.0,0.0,12.431702605555405,0.2169741420956997,-2.2700097802335844,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f05.png,f05.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f05.png,test
ACETONE(1%)__seq782__4.500V__R__f06,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,6,2500,2.5,0.22,3.4557519189487724,-0.3090169943749473,-0.9510565162951536,0.0,0.0,10.457499888663428,0.18251780458411723,-1.974202716891977,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f06.png,f06.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f06.png,test
ACETONE(1%)__seq782__4.500V__R__f07,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,7,3000,3.0,0.22,4.146902302738527,-0.8443279255020149,-0.5358267949789971,0.0,0.0,8.644312374596257,0.15087171250759412,-1.8131875140671703,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f07.png,f07.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f07.png,test
ACETONE(1%)__seq782__4.500V__R__f08,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,8,3500,3.5,0.22,4.838052686528282,-0.9921147013144779,0.12533323356430423,0.0,0.0,6.890873605744089,0.12026843275900799,-1.7534387688521686,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f08.png,f08.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f08.png,test
ACETONE(1%)__seq782__4.500V__R__f09,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,9,4000,4.0,0.22,5.529203070318036,-0.684547105928689,0.7289686274214112,0.0,0.0,5.799079342453298,0.10121302811019782,-1.091794263290791,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f09.png,f09.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f09.png,test
ACETONE(1%)__seq782__4.500V__R__f10,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,10,4500,4.5,0.22,6.22035345410779,-0.06279051952931415,0.9980267284282716,0.0,0.0,5.169300236158791,0.09022130914509134,-0.6297791062945066,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f10.png,f10.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f10.png,test
